Recency,Frequency,AOV,Monetary,Avg_Order_Gap,Predicted_AOV,Predicted_LTV,LTV_Segment
28,5,500.56800000000004,2502.84,5.6,515.70154,2578.5076904296875,High Value
1,5,411.378,2056.89,0.2,416.07645,2080.3822326660156,High Value
64,1,340.84,340.84,64.0,340.59073,340.5907287597656,High Value
79,5,526.8520000000001,2634.26,15.8,527.89813,2639.4906616210938,High Value
143,1,599.68,599.68,143.0,598.555,598.5549926757812,High Value
39,2,96.36,192.72,19.5,94.51483,189.0296630859375,High Value
19,11,162.70636363636365,1789.7700000000002,1.7272727272727273,171.86237,1890.4860229492188,High Value
9,8,560.715,4485.72,1.125,588.37604,4707.00830078125,High Value
1,3,438.8866666666667,1316.66,0.3333333333333333,440.10022,1320.3006591796875,High Value
82,3,116.23666666666668,348.71000000000004,27.333333333333332,119.97982,359.93946075439453,High Value
9,6,322.24666666666667,1933.48,1.5,327.0255,1962.153076171875,High Value
60,4,415.57,1662.28,15.0,415.8177,1663.270751953125,High Value
15,1,125.22,125.22,15.0,126.54793,126.54792785644531,Medium Value
30,1,349.83000000000004,349.83000000000004,30.0,349.54123,349.5412292480469,High Value
131,1,1089.18,1089.18,131.0,1080.8209,1080.8209228515625,High Value
92,2,358.175,716.35,46.0,362.1245,724.2490234375,High Value
29,1,363.95,363.95,29.0,363.0167,363.0166931152344,High Value
22,4,1392.0875,5568.35,5.5,1431.177,5724.7080078125,High Value
20,17,788.2494117647059,13400.24,1.1764705882352942,803.13635,13653.317993164062,High Value
30,3,327.06,981.1800000000001,10.0,324.30222,972.9066467285156,High Value
36,1,372.7,372.7,36.0,374.28958,374.2895812988281,High Value
75,2,500.195,1000.39,37.5,500.95312,1001.90625,High Value
47,2,580.75,1161.5,23.5,579.3179,1158.6357421875,High Value
198,2,103.89999999999999,207.79999999999998,99.0,101.08188,202.16375732421875,High Value
166,1,95.19999999999999,95.19999999999999,166.0,91.22774,91.22773742675781,Medium Value
79,1,964.83,964.83,79.0,944.8175,944.8175048828125,High Value
358,1,168.0,168.0,358.0,166.84239,166.84239196777344,High Value
39,2,218.91,437.82,19.5,220.26915,440.5382995605469,High Value
8,10,369.228,3692.28,0.8,364.08685,3640.8685302734375,High Value
50,2,301.855,603.71,25.0,302.95786,605.9157104492188,High Value
8,1,269.96,269.96,8.0,266.11108,266.111083984375,High Value
311,2,280.855,561.71,155.5,280.57214,561.144287109375,High Value
5,3,711.3366666666667,2134.01,1.6666666666666667,715.14417,2145.4324951171875,High Value
303,1,238.85,238.85,303.0,241.47891,241.47891235351562,High Value
8,7,540.2485714285715,3781.7400000000007,1.1428571428571428,559.5451,3916.8157348632812,High Value
261,1,456.9,456.9,261.0,455.0274,455.02740478515625,High Value
289,1,145.92,145.92,289.0,143.61801,143.61801147460938,Medium Value
86,1,351.65,351.65,86.0,351.42526,351.4252624511719,High Value
23,10,940.128,9401.28,2.3,924.70526,9247.052612304688,High Value
2,32,128.8965625,4124.69,0.0625,159.68268,5109.845703125,High Value
40,2,259.805,519.61,20.0,260.93433,521.86865234375,High Value
9,2,510.21,1020.42,4.5,509.55786,1019.11572265625,High Value
227,1,160.54000000000002,160.54000000000002,227.0,160.90836,160.90835571289062,High Value
316,1,218.45,218.45,316.0,216.82793,216.8279266357422,High Value
36,5,263.166,1315.83,7.2,264.19592,1320.9796142578125,High Value
35,3,219.26666666666665,657.8,11.666666666666666,222.32712,666.9813537597656,High Value
21,2,1397.255,2794.51,10.5,1400.358,2800.716064453125,High Value
78,1,440.42,440.42,78.0,442.58774,442.5877380371094,High Value
247,1,415.7,415.7,247.0,415.26584,415.2658386230469,High Value
40,1,197.71,197.71,40.0,197.72836,197.72836303710938,High Value
239,2,255.68,511.36,119.5,255.12659,510.253173828125,High Value
3,15,485.42533333333336,7281.38,0.2,477.02335,7155.350189208984,High Value
4,9,259.7944444444445,2338.1500000000005,0.4444444444444444,263.34598,2370.113800048828,High Value
234,2,1020.05,2040.1,117.0,1023.1648,2046.32958984375,High Value
17,1,196.94000000000003,196.94000000000003,17.0,197.72836,197.72836303710938,High Value
8,1,144.0,144.0,8.0,143.61801,143.61801147460938,Medium Value
39,1,214.89999999999998,214.89999999999998,39.0,215.17805,215.1780548095703,High Value
29,2,323.34,646.68,14.5,321.26093,642.5218505859375,High Value
317,1,452.84999999999997,452.84999999999997,317.0,450.40402,450.4040222167969,High Value
92,2,218.8,437.6,46.0,220.26915,440.5382995605469,High Value
109,3,139.36666666666665,418.0999999999999,36.333333333333336,138.64442,415.9332733154297,High Value
38,10,333.822,3338.2200000000003,3.8,323.01047,3230.1046752929688,High Value
51,2,309.135,618.27,25.5,309.20764,618.415283203125,High Value
19,4,952.805,3811.22,4.75,943.44086,3773.763427734375,High Value
10,8,377.885,3023.08,1.25,374.55762,2996.4609375,High Value
29,7,147.51142857142855,1032.58,4.142857142857143,150.85075,1055.9552764892578,High Value
29,10,259.904,2599.04,2.9,259.8747,2598.7469482421875,High Value
190,5,115.412,577.0600000000001,38.0,118.50279,592.5139617919922,High Value
59,1,153.12,153.12,59.0,156.54092,156.54092407226562,High Value
22,1,739.1999999999999,739.1999999999999,22.0,729.935,729.9349975585938,High Value
79,2,127.09,254.18,39.5,128.94153,257.883056640625,High Value
60,1,1579.51,1579.51,60.0,1561.9297,1561.9296875,High Value
78,3,375.6166666666666,1126.85,26.0,375.31992,1125.9597473144531,High Value
23,5,419.908,2099.54,4.6,417.13892,2085.694580078125,High Value
52,1,1193.32,1193.32,52.0,1193.8074,1193.807373046875,High Value
74,1,704.0400000000001,704.0400000000001,74.0,701.90753,701.9075317382812,High Value
57,5,668.876,3344.38,11.4,660.49854,3302.49267578125,High Value
278,1,315.6,315.6,278.0,315.3957,315.39569091796875,High Value
2,4,572.7975,2291.19,0.5,552.63257,2210.5302734375,High Value
95,2,356.65,713.3,47.5,362.1245,724.2490234375,High Value
29,1,355.53,355.53,29.0,354.6135,354.6134948730469,High Value
22,1,177.31,177.31,22.0,179.13272,179.13272094726562,High Value
16,9,404.5822222222222,3641.24,1.7777777777777777,398.17142,3583.542755126953,High Value
15,3,446.47,1339.41,5.0,443.85568,1331.5670471191406,High Value
2,20,684.4835,13689.670000000002,0.1,645.75226,12915.045166015625,High Value
232,1,180.1,180.1,232.0,179.13272,179.13272094726562,High Value
276,1,305.1,305.1,276.0,307.0156,307.0155944824219,High Value
106,2,320.565,641.13,53.0,321.26093,642.5218505859375,High Value
212,2,1341.91,2683.82,106.0,1339.3368,2678.673583984375,High Value
23,9,735.6088888888888,6620.48,2.5555555555555554,742.45496,6682.0946044921875,High Value
11,7,639.79,4478.53,1.5714285714285714,640.5479,4483.835388183594,High Value
4,3,262.15333333333336,786.46,1.3333333333333333,261.9118,785.7354125976562,High Value
10,2,635.44,1270.88,5.0,644.16626,1288.33251953125,High Value
57,1,640.5,640.5,57.0,635.6508,635.6508178710938,High Value
59,4,540.995,2163.98,14.75,529.44745,2117.789794921875,High Value
90,2,844.59,1689.18,45.0,846.5271,1693.05419921875,High Value
67,8,752.7375,6021.9,8.375,760.3653,6082.92236328125,High Value
33,1,671.69,671.69,33.0,674.13,674.1300048828125,High Value
239,1,486.1,486.1,239.0,484.1024,484.1023864746094,High Value
24,3,391.52666666666664,1174.58,8.0,392.68744,1178.0623168945312,High Value
115,1,185.9,185.9,115.0,186.1378,186.13780212402344,High Value
25,3,337.75333333333333,1013.26,8.333333333333334,342.416,1027.2479553222656,High Value
128,6,557.4399999999999,3344.6399999999994,21.333333333333332,548.7028,3292.2169189453125,High Value
130,1,477.91,477.91,130.0,478.28482,478.2848205566406,High Value
34,4,443.795,1775.18,8.5,444.77777,1779.111083984375,High Value
5,2,673.485,1346.97,2.5,673.5044,1347.0087890625,High Value
22,12,310.235,3722.82,1.8333333333333333,304.6264,3655.516845703125,High Value
155,1,318.05,318.05,155.0,319.0478,319.04779052734375,High Value
107,3,207.83666666666667,623.51,35.666666666666664,203.99922,611.9976654052734,High Value
3,1,314.44,314.44,3.0,315.30307,315.3030700683594,High Value
335,1,114.0,114.0,335.0,114.2263,114.22630310058594,Medium Value
331,1,919.98,919.98,331.0,918.8665,918.8665161132812,High Value
149,2,1104.925,2209.85,74.5,1111.7056,2223.4111328125,High Value
11,5,120.396,601.98,2.2,122.5353,612.6765060424805,High Value
17,5,810.234,4051.17,3.4,799.03235,3995.1617431640625,High Value
11,4,410.795,1643.18,2.75,415.72937,1662.91748046875,High Value
19,1,686.05,686.05,19.0,685.8288,685.8287963867188,High Value
30,1,91.68,91.68,30.0,90.01578,90.01577758789062,Medium Value
11,1,245.1,245.1,11.0,245.56046,245.56045532226562,High Value
1,11,349.98,3849.78,0.09090909090909091,353.26572,3885.922882080078,High Value
8,9,542.4311111111111,4881.88,0.8888888888888888,574.8505,5173.654724121094,High Value
325,1,63.0,63.0,325.0,60.746323,60.74632263183594,Medium Value
58,1,620.13,620.13,58.0,615.6682,615.668212890625,High Value
12,4,951.7875,3807.15,3.0,943.8852,3775.540771484375,High Value
151,3,914.6766666666666,2744.0299999999997,50.333333333333336,913.10693,2739.32080078125,High Value
10,5,599.21,2996.05,2.0,576.45776,2882.288818359375,High Value
330,1,225.89999999999998,225.89999999999998,330.0,225.15872,225.15872192382812,High Value
5,2,305.26,610.52,2.5,304.5015,609.0029907226562,High Value
39,4,492.65,1970.6,9.75,477.024,1908.095947265625,High Value
25,6,221.89833333333334,1331.39,4.166666666666667,221.68275,1330.0965270996094,High Value
42,12,1469.0383333333332,17628.46,3.5,1484.0591,17808.708984375,High Value
59,4,278.255,1113.02,14.75,277.8445,1111.3780517578125,High Value
1,4,215.7025,862.81,0.25,208.91296,835.65185546875,High Value
15,22,626.7063636363637,13787.54,0.6818181818181818,666.872,14671.184204101562,High Value
4,31,396.3941935483871,12288.22,0.12903225806451613,401.55664,12448.255859375,High Value
4,15,565.1046666666666,8476.57,0.26666666666666666,573.3899,8600.848388671875,High Value
8,7,326.23285714285714,2283.63,1.1428571428571428,334.52707,2341.689483642578,High Value
28,6,477.18,2863.08,4.666666666666667,469.0797,2814.478271484375,High Value
372,1,89.14,89.14,372.0,90.01578,90.01577758789062,Medium Value
26,2,623.805,1247.61,13.0,607.9678,1215.935546875,High Value
206,1,389.01,389.01,206.0,391.79065,391.7906494140625,High Value
28,6,172.63333333333333,1035.8,4.666666666666667,177.60146,1065.6087341308594,High Value
127,4,213.9775,855.91,31.75,208.72299,834.8919677734375,High Value
70,2,434.835,869.67,35.0,428.8026,857.605224609375,High Value
7,4,145.525,582.1,1.75,145.48206,581.92822265625,High Value
29,3,319.19666666666666,957.5899999999999,9.666666666666666,317.75522,953.2656555175781,High Value
8,4,1234.9975,4939.99,2.0,1259.6,5038.39990234375,High Value
80,2,398.855,797.71,40.0,396.06348,792.126953125,High Value
20,1,219.0,219.0,20.0,221.06795,221.0679473876953,High Value
71,1,283.55,283.55,71.0,281.5354,281.535400390625,High Value
7,8,292.605,2340.84,0.875,291.05627,2328.4501953125,High Value
15,9,763.1433333333333,6868.29,1.6666666666666667,740.79205,6667.128479003906,High Value
292,1,603.42,603.42,292.0,603.00507,603.0050659179688,High Value
30,10,271.291,2712.91,3.0,270.28137,2702.813720703125,High Value
15,15,649.1013333333334,9736.52,1.0,636.70135,9550.520324707031,High Value
97,3,383.00666666666666,1149.02,32.333333333333336,389.01868,1167.0560302734375,High Value
29,13,338.1638461538462,4396.13,2.230769230769231,337.39294,4386.1082763671875,High Value
1,1,848.55,848.55,1.0,848.76,848.760009765625,High Value
9,5,941.7719999999999,4708.86,1.8,897.46454,4487.322692871094,High Value
106,1,353.86,353.86,106.0,354.5657,354.5657043457031,High Value
4,2,526.745,1053.49,2.0,523.15063,1046.30126953125,High Value
151,2,515.49,1030.98,75.5,515.1179,1030.23583984375,High Value
71,1,238.25,238.25,71.0,236.02347,236.02346801757812,High Value
5,2,322.475,644.95,2.5,321.26093,642.5218505859375,High Value
3,25,231.26919999999998,5781.73,0.12,198.28438,4957.109451293945,High Value
32,6,442.68833333333333,2656.13,5.333333333333333,438.5161,2631.0966796875,High Value
85,4,249.4075,997.63,21.25,245.79189,983.1675415039062,High Value
4,5,145.014,725.07,0.8,145.46829,727.3414611816406,High Value
5,4,257.8525,1031.41,1.25,267.7529,1071.0115966796875,High Value
371,1,427.8,427.8,371.0,426.99258,426.9925842285156,High Value
28,7,372.7285714285714,2609.1,4.0,354.61877,2482.3314208984375,High Value
11,7,568.6714285714286,3980.7,1.5714285714285714,569.41583,3985.9108276367188,High Value
71,4,209.0825,836.33,17.75,208.56108,834.2443237304688,High Value
114,1,453.01,453.01,114.0,450.55096,450.55096435546875,High Value
24,12,1574.6591666666666,18895.91,2.0,1512.8041,18153.64892578125,High Value
180,1,236.26000000000002,236.26000000000002,180.0,236.02347,236.02346801757812,High Value
234,1,383.95,383.95,234.0,382.9876,382.98760986328125,High Value
353,1,110.39999999999999,110.39999999999999,353.0,110.78119,110.78118896484375,Medium Value
315,2,389.78499999999997,779.5699999999999,157.5,388.59906,777.1981201171875,High Value
333,1,234.0,234.0,333.0,236.02347,236.02346801757812,High Value
372,1,155.35,155.35,372.0,156.54092,156.54092407226562,High Value
78,2,506.52,1013.04,39.0,500.95312,1001.90625,High Value
64,1,427.6,427.6,64.0,427.04037,427.0403747558594,High Value
134,2,273.215,546.43,67.0,272.462,544.9240112304688,High Value
2,11,381.4554545454546,4196.01,0.18181818181818182,375.75555,4133.311096191406,High Value
1,210,160.57014285714288,33719.73,0.004761904761904762,181.18039,38047.881774902344,High Value
4,5,818.176,4090.88,0.8,805.4512,4027.255859375,High Value
129,1,275.88,275.88,129.0,278.23557,278.2355651855469,High Value
236,3,1003.5799999999999,3010.74,78.66666666666667,1029.8892,3089.66748046875,High Value
281,2,1905.975,3811.95,140.5,1894.3762,3788.75244140625,High Value
87,1,112.07999999999998,112.07999999999998,87.0,110.78119,110.78118896484375,Medium Value
16,13,604.3923076923077,7857.099999999999,1.2307692307692308,528.04803,6864.624450683594,High Value
117,2,1395.795,2791.59,58.5,1398.188,2796.3759765625,High Value
52,3,510.48,1531.44,17.333333333333332,511.55008,1534.6502380371094,High Value
8,2,949.26,1898.52,4.0,949.83,1899.6600341796875,High Value
138,2,247.04,494.08,69.0,248.23566,496.4713134765625,High Value
317,1,1693.88,1693.88,317.0,1670.8533,1670.853271484375,High Value
4,7,998.5185714285715,6989.63,0.5714285714285714,1007.90875,7055.361267089844,High Value
239,1,1143.6,1143.6,239.0,1140.8381,1140.838134765625,High Value
211,1,1351.45,1351.45,211.0,1344.2963,1344.2962646484375,High Value
60,1,892.47,892.47,60.0,893.04034,893.0403442382812,High Value
17,5,277.20799999999997,1386.04,3.4,280.35788,1401.7893981933594,High Value
20,6,137.03833333333333,822.23,3.3333333333333335,139.8763,839.2577819824219,High Value
38,8,497.67,3981.36,4.75,512.4779,4099.8232421875,High Value
64,2,413.37,826.74,32.0,414.03268,828.0653686523438,High Value
5,5,466.184,2330.92,1.0,458.1487,2290.7435607910156,High Value
2,6,370.98499999999996,2225.91,0.3333333333333333,374.80496,2248.8297729492188,High Value
9,2,287.21,574.42,4.5,282.25516,564.5103149414062,High Value
364,1,311.95,311.95,364.0,312.2057,312.2056884765625,High Value
10,3,154.55333333333334,463.66,3.3333333333333335,155.0055,465.0164794921875,High Value
65,1,91.85,91.85,65.0,91.22774,91.22773742675781,Medium Value
192,1,324.92,324.92,192.0,322.34235,322.34234619140625,High Value
374,1,192.60000000000002,192.60000000000002,374.0,191.46674,191.46673583984375,High Value
257,1,400.53999999999996,400.53999999999996,257.0,403.57892,403.57891845703125,High Value
335,2,272.74,545.48,167.5,272.462,544.9240112304688,High Value
53,2,430.205,860.41,26.5,428.24725,856.4945068359375,High Value
19,1,430.48,430.48,19.0,430.11777,430.1177673339844,High Value
366,1,254.03,254.03,366.0,253.41676,253.41676330566406,High Value
187,1,427.58,427.58,187.0,426.99258,426.9925842285156,High Value
37,3,161.21666666666667,483.65,12.333333333333334,158.01157,474.0346984863281,High Value
178,1,489.31,489.31,178.0,486.70544,486.7054443359375,High Value
261,3,171.61666666666667,514.85,87.0,162.40495,487.21485900878906,High Value
45,1,229.64000000000001,229.64000000000001,45.0,228.27657,228.2765655517578,High Value
102,1,125.92,125.92,102.0,126.54793,126.54792785644531,Medium Value
148,2,531.73,1063.46,74.0,529.11426,1058.228515625,High Value
96,2,286.1,572.2,48.0,282.25516,564.5103149414062,High Value
281,1,166.04,166.04,281.0,166.84239,166.84239196777344,High Value
262,1,1542.08,1542.08,262.0,1540.1305,1540.1304931640625,High Value
3,4,235.585,942.34,0.75,234.92293,939.6917114257812,High Value
214,1,92.72,92.72,214.0,91.22774,91.22773742675781,Medium Value
71,2,474.44,948.88,35.5,476.21545,952.430908203125,High Value
75,5,351.9,1759.5,15.0,354.92435,1774.6217346191406,High Value
60,1,397.12,397.12,60.0,395.63525,395.63525390625,High Value
3,7,210.67428571428573,1474.72,0.42857142857142855,209.78674,1468.5072021484375,High Value
6,3,143.38333333333335,430.1500000000001,2.0,143.8331,431.4992980957031,High Value
3,6,169.785,1018.71,0.5,170.27788,1021.6672668457031,High Value
337,2,146.5,293.0,168.5,145.4296,290.85919189453125,High Value
38,6,1135.7733333333333,6814.639999999999,6.333333333333333,1148.3914,6890.34814453125,High Value
262,1,215.05,215.05,262.0,215.17805,215.1780548095703,High Value
32,2,191.515,383.03,16.0,189.14769,378.2953796386719,High Value
145,1,417.38,417.38,145.0,415.26584,415.2658386230469,High Value
283,1,312.38,312.38,283.0,312.2057,312.2056884765625,High Value
59,4,653.215,2612.86,14.75,639.992,2559.968017578125,High Value
173,1,134.1,134.1,173.0,136.45596,136.45596313476562,Medium Value
34,2,341.565,683.13,17.0,341.82462,683.6492309570312,High Value
3,14,399.38714285714286,5591.42,0.21428571428571427,397.5575,5565.804931640625,High Value
144,4,681.6925,2726.77,36.0,696.0111,2784.04443359375,High Value
5,25,160.894,4022.3500000000004,0.2,166.09369,4152.342224121094,High Value
70,2,559.495,1118.99,35.0,552.6653,1105.33056640625,High Value
66,8,212.7825,1702.26,8.25,210.81102,1686.4881591796875,High Value
29,2,162.98000000000002,325.96000000000004,14.5,165.65688,331.3137512207031,High Value
267,4,88.5225,354.09,66.75,96.860344,387.4413757324219,High Value
22,1,871.54,871.54,22.0,872.7643,872.7642822265625,High Value
31,2,525.4449999999999,1050.8899999999999,15.5,523.15063,1046.30126953125,High Value
